time,memory,cpu,download (bytes),upload (bytes),app,media,user,download,upload,download (unit),upload (unit),client
15/06/2023 14:50:12,41.86,0.00,,,siruntu,webcam,server,304.32,339.74,k,k,presenter
15/06/2023 14:51:02,43.17,1.83,,,siruntu,webcam,server,1.91,13.22,m,k,viewer 1
15/06/2023 14:52:02,45.34,4.91,,,siruntu,webcam,server,767.94,863.71,k,k,viewer_2
15/06/2023 14:53:02,45.73,2.51,,,siruntu,webcam,server,165.92,329.86,k,k,viewer_3
15/06/2023 14:54:03,47.28,3.51,,,siruntu,webcam,server,212.35,598.58,k,k,viewer_4
15/06/2023 14:55:03,50.08,3.06,,,siruntu,webcam,server,160.96,566.30,k,k,viewer_5
15/06/2023 14:56:03,54.94,6.54,,,siruntu,webcam,server,361.25,2.35,k,m,viewer_6
15/06/2023 14:57:03,55.88,6.93,,,siruntu,webcam,server,196.76,1.01,k,m,viewer_7
15/06/2023 14:58:03,58.64,6.70,,,siruntu,webcam,server,203.20,1.20,k,m,viewer_8
15/06/2023 14:59:03,61.06,6.17,,,siruntu,webcam,server,192.78,1.26,k,m,viewer_9
15/06/2023 15:00:03,62.77,7.94,,,siruntu,webcam,server,204.60,1.30,k,m,viewer_10
15/06/2023 15:01:03,65.65,8.96,,,siruntu,webcam,server,212.23,1.66,k,m,x
15/06/2023 15:02:03,65.94,8.93,,,siruntu,webcam,server,206.11,1.59,k,m,x
15/06/2023 15:03:03,66.32,9.39,,,siruntu,webcam,server,205.17,1.69,k,m,x
15/06/2023 15:04:03,66.49,8.02,,,siruntu,webcam,server,221.52,1.90,k,m,x
15/06/2023 15:05:03,66.31,10.17,,,siruntu,webcam,server,211.18,1.75,k,m,x
15/06/2023 15:06:03,66.48,8.99,,,siruntu,webcam,server,214.93,1.96,k,m,x
15/06/2023 15:07:03,66.58,9.45,,,siruntu,webcam,server,218.16,1.74,k,m,x
15/06/2023 15:08:03,66.88,8.40,,,siruntu,webcam,server,196.80,1.74,k,m,x
15/06/2023 15:09:03,66.97,8.88,,,siruntu,webcam,server,206.30,1.67,k,m,x
15/06/2023 15:10:03,67.14,7.97,,,siruntu,webcam,server,211.04,1.69,k,m,x
15/06/2023 15:11:03,67.43,7.24,,,siruntu,webcam,server,211.39,1.67,k,m,x
15/06/2023 15:25:15,63.50,0.65,,,siruntu,screen,server,309.88,33.98,k,k,presenter
15/06/2023 15:26:00,63.38,0.7,,,siruntu,screen,server,108.83,12.51,k,k,x
15/06/2023 15:27:00,64.10,1.06,,,siruntu,screen,server,136.68,140.47,k,k,viewer_1
15/06/2023 15:28:00,64.53,1.52,,,siruntu,screen,server,1169.08,404.94,k,k,viewer_2
15/06/2023 15:29:00,65.75,1.54,,,siruntu,screen,server,139.90,325.56,k,k,viewer_3
15/06/2023 15:30:00,67.26,1.98,,,siruntu,screen,server,160.64,601.95,k,k,viewer_4
15/06/2023 15:31:00,68.70,2.71,,,siruntu,screen,server,137.34,491.47,k,k,viewer_5
15/06/2023 15:32:00,70.70,1.48,,,siruntu,screen,server,154.40,1.99,k,m,viewer_6
15/06/2023 15:33:00,71.75,1.60,,,siruntu,screen,server,137.65,627.22,k,k,viewer_7
15/06/2023 15:34:00,72.08,1.52,,,siruntu,screen,server,154.09,38.06,k,k,viewer_8
15/06/2023 15:35:00,74.10,1.99,,,siruntu,screen,server,201.66,1.37,k,m,viewer_9
15/06/2023 15:36:00,77.13,1.79,,,siruntu,screen,server,151.63,843.98,k,k,viewer_10
15/06/2023 15:37:00,77.62,3.89,,,siruntu,screen,server,161.56,961.48,k,k,x
15/06/2023 15:38:00,77.84,3.93,,,siruntu,screen,server,162.14,965.01,k,k,x
15/06/2023 15:39:00,78.56,4.50,,,siruntu,screen,server,172.23,1.32,k,m,x
15/06/2023 15:40:00,79.09,4.68,,,siruntu,screen,server,170.45,1.15,k,m,x
15/06/2023 15:41:00,80.32,5.43,,,siruntu,screen,server,261.68,2.38,k,m,x
15/06/2023 15:42:00,80.59,3.96,,,siruntu,screen,server,149.13,877.92,k,k,x
15/06/2023 15:43:01,81.55,3.36,,,siruntu,screen,server,144.70,1.10,k,m,x
15/06/2023 15:44:01,81.69,4.07,,,siruntu,screen,server,141.08,875.04,k,k,x
15/06/2023 15:45:01,81.90,3.80,,,siruntu,screen,server,150.63,905.46,k,k,x
15/06/2023 15:46:01,61.93,3.59,,,siruntu,screen,server,158.02,1.11,k,m,x
